[ 2012-08-14T21:40:50+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:04+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:20+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:30+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:31+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:36+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:43+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:50+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:59+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:49:06+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:49:12+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:49:19+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:49:29+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:49:35+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:49:44+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:49:44+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:50:04+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:50:05+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:50:15+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:50:15+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:50:29+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:50:30+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:54:07+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:54:14+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:54:21+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:54:22+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:58:16+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
